Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
323,7549,species,Scarlet Ibis,Eudocimus ruber,,"Belém, PA, Brasil",BR-PA,08 Jan 2009,L21535171,S122411894,,1
324,2415,species,Eared Dove,Zenaida auriculata,,"Fernando de Noronha - PE, Brasil",BR-PE,07 Jan 2008,L21557013,S122549246,,1
94,254,species,Bar-headed Goose,Anser indicus,1,Parc départemental du Sausset,FR-IDF,18 May 2023,L6577786,S138211026,X,0
213,360,species,Black Swan,Cygnus atratus,1,Parque Eduardo Guinle,BR-RJ,30 Oct 2022,L11532167,S121561443,X,0
312,1515,species,Indian Peafowl,Pavo cristatus,,"Goiabeiras, Vitória - ES, 29066, Brasil",BR-ES,14 Dec 2021,L21565486,S122601829,X,0
32,6562,spuh,white-winged gull sp.,Larus sp. (white-winged gull sp.),15,Toronto--HTO Park West,CA-ON,09 Jul 2023,L14162082,S144006192,,0
36,6563,spuh,Larus sp.,Larus sp.,2,Toronto--Olympic Park,CA-ON,09 Jul 2023,L11087735,S143995932,,0
45,28289,spuh,Turdus sp.,Turdus sp.,1,PNM das Dunas da Lagoa da Conceição--lagoas,BR-SC,24 Jun 2023,L3689144,S142546559,,0
60,6120,spuh,Tringa sp.,Tringa sp.,1,ESEC de Carijós--Pontal da Daniela,BR-SC,24 Jun 2023,L3846905,S142524019,,0
67,7543,spuh,heron sp.,Ardeidae sp.,1,Sítio do Engenho,BR-SP,18 Jun 2023,L21434561,S141992772,,0
68,35053,spuh,Sporophila sp.,Sporophila sp.,3,FLONA Ipanema--Vila de São João,BR-SP,17 Jun 2023,L9794343,S141978611,,0
69,16436,spuh,elaenia sp. (genus Elaenia),Elaenia sp.,1,FLONA Ipanema--Vila de São João,BR-SP,17 Jun 2023,L9794343,S141978611,,0
110,5487,spuh,coot sp.,Fulica sp.,35,Reserva Ecológica Costanera Sur,AR-C,19 Apr 2023,L472208,S134313424,,0
144,4311,spuh,hermit sp.,Phaethornis sp.,1,"Araçariguama, SP, 18147-000, Brasil",BR-SP,20 Mar 2023,L21565473,S131357981,,0
146,2303,spuh,ground dove/Inca Dove,Columbina sp.,3,Fazenda Carnaúba - Taperoá,BR-PB,06 Mar 2023,L22934451,S130298921,,0
160,12966,spuh,parrot sp.,Psittaciformes sp. (parrot sp.),1,Sítio do Engenho,BR-SP,11 Jan 2023,L21434561,S125944321,,0
161,2022,spuh,Patagioenas sp.,Patagioenas sp.,2,Sítio do Engenho,BR-SP,05 Jan 2023,L21434561,S126314137,,0
162,250,spuh,whistling-duck sp.,Dendrocygna sp.,2,Sítio do Engenho,BR-SP,05 Jan 2023,L21434561,S126314137,,0
164,881,spuh,Penelope sp.,Penelope sp.,4,Vitória--Jardim Botânico da Vale,BR-ES,28 Dec 2022,L4153207,S124751490,,0
171,7635,spuh,Cathartes sp.,Cathartes sp.,20,Roça - Governador Lindenberg,BR-ES,25 Dec 2022,L21888521,S124563263,,0
232,16687,spuh,Empidonax sp.,Empidonax sp.,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,0
241,3522,spuh,nighthawk sp.,Chordeiles sp.,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,0
294,295,spuh,Anser sp.,Anser sp.,,"Araçariguama, SP, 18147-000, Brasil",BR-SP,04 Sep 2022,L21565473,S122601880,X,0
