Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
131,626,species,Rosy-billed Pochard,Netta peposaca,16,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
132,591,species,Yellow-billed Teal,Anas flavirostris,3,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
133,456,species,Silver Teal,Spatula versicolor,10,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
134,432,species,Ringed Teal,Callonetta leucophrys,3,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
135,376,species,Coscoroba Swan,Coscoroba coscoroba,3,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
136,362,species,Black-necked Swan,Cygnus melancoryphus,6,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
137,224,species,Southern Screamer,Chauna torquata,6,Reserva Ecológica Costanera Sur,AR-C,16 Apr 2023,L472208,S133970118,,1
138,11735,species,Chimango Caracara,Daptrius chimango,,"Puerto Madero, Città Autonoma di Buenos Aires, Argentina",AR-C,12 Apr 2023,L23959417,S135669934,,1
139,15412,species,Swallow-tailed Manakin,Chiroxiphia caudata,2,Sítio do Engenho,BR-SP,03 Apr 2023,L21434561,S132573773,,1
140,2298,species,Picui Ground Dove,Columbina picui,2,Ponta Negra--Praia de Ponta Negra,BR-RN,30 Mar 2023,L22809384,S132758310,,1
141,6091,species,Spotted Sandpiper,Actitis macularius,1,Ponta Negra--Praia de Ponta Negra,BR-RN,29 Mar 2023,L22809384,S132110462,,1
142,14999,species,White-eyed Foliage-gleaner,Automolus leucophthalmus,1,"Araçariguama, SP, 18147-000, Brasil",BR-SP,20 Mar 2023,L21565473,S131357981,,1
143,13317,species,Variable Antshrike,Thamnophilus caerulescens,1,"Araçariguama, SP, 18147-000, Brasil",BR-SP,20 Mar 2023,L21565473,S131357981,,1
145,16850,species,Black-backed Water-Tyrant,Fluvicola albiventer,,"Patos, PB, Brasil",BR-PB,08 Mar 2023,L23959425,S135669941,,1
147,5805,species,Semipalmated Plover,Charadrius semipalmatus,,"Barreiros, PE, Brasil",BR-PE,04 Mar 2023,L23959427,S135669943,,1
148,5782,species,Black-bellied Plover,Pluvialis squatarola,,"Barreiros, PE, Brasil",BR-PE,04 Mar 2023,L23959427,S135669944,,1
149,5132,species,Plain-bellied Emerald,Chrysuronia leucogaster,,"Tamandaré - PE, Brasil",BR-PE,02 Mar 2023,L23959428,S135669945,,1
150,23651,species,White-winged Swallow,Tachycineta albiventer,2,"1558-1758 Avenida José Bezerra Sobrinho, Pernambuco, BR (-8,734, -35,089)",BR-PE,01 Mar 2023,L25208344,S141626984,,1
151,33704,species,Golden-crowned Warbler,Basileuterus culicivorus,1,"Araçariguama, SP, 18147-000, Brasil",BR-SP,24 Feb 2023,L21565473,S129488173,,1
152,14514,species,Lesser Woodcreeper,Xiphorhynchus fuscus,1,"Araçariguama, SP, 18147-000, Brasil",BR-SP,24 Feb 2023,L21565473,S129488173,,1
153,34083,species,Red-crested Cardinal,Paroaria coronata,2,Universidade de São Paulo--Praça do Relógio,BR-SP,17 Feb 2023,L8121084,S132758336,,1
154,15315,species,Spix's Spinetail,Synallaxis spixi,,"Araçariguama, SP, 18147-000, Brasil",BR-SP,30 Jan 2023,L23959421,S135669950,,1
155,8926,species,Burrowing Owl,Athene cunicularia,2,"972 Rua Joao De Candinha, São Paulo, BR (-23,577, -47,14)",BR-SP,28 Jan 2023,L22373035,S127087392,,1
156,4308,species,Scale-throated Hermit,Phaethornis eurynome,,"Araçariguama, SP, 18147-000, Brasil",BR-SP,19 Jan 2023,L23959421,S135669951,,1
157,31482,species,Purple-throated Euphonia,Euphonia chlorotica,1,Sítio do Engenho,BR-SP,18 Jan 2023,L21434561,S126423887,,1
158,34452,species,Burnished-buff Tanager,Stilpnia cayana,1,Sítio do Engenho,BR-SP,12 Jan 2023,L21434561,S125980854,,1
159,7562,species,Bare-faced Ibis,Phimosus infuscatus,2,Sítio do Engenho,BR-SP,12 Jan 2023,L21434561,S125980854,,1
163,855,species,Rusty-margined Guan,Penelope superciliaris,,"Parque Industrial, Vitória - ES, Brasil",BR-ES,28 Dec 2022,L23959432,S135669955,,1
165,27639,species,Tropical Mockingbird,Mimus gilvus,4,Parque Pedra da Cebola,BR-ES,27 Dec 2022,L6340057,S124688398,,1
166,17066,species,Boat-billed Flycatcher,Megarynchus pitangua,1,Roça - Governador Lindenberg,BR-ES,26 Dec 2022,L21888521,S124641037,,1
167,10677,species,Black-necked Aracari,Pteroglossus aracari,1,Roça - Governador Lindenberg,BR-ES,26 Dec 2022,L21888521,S124641037,,1
168,834,species,East Brazilian Chachalaca,Ortalis araucuan,1,Roça - Governador Lindenberg,BR-ES,26 Dec 2022,L21888521,S124612131,,1
169,3023,species,Guira Cuckoo,Guira guira,1,Roça - Governador Lindenberg,BR-ES,25 Dec 2022,L21888521,S124569669,,1
170,13273,species,Chestnut-backed Antshrike,Thamnophilus palliatus,1,Roça - Governador Lindenberg,BR-ES,25 Dec 2022,L21888521,S124563263,,1
172,2295,species,Scaled Dove,Columbina squammata,1,Roça - Governador Lindenberg,BR-ES,25 Dec 2022,L21888521,S124563263,,1
173,34084,species,Red-cowled Cardinal,Paroaria dominicana,1,"ES-245, Espírito Santo, BR (-19,245, -40,482)",BR-ES,23 Dec 2022,L21888875,S124486600,,1
174,33134,species,Red-rumped Cacique,Cacicus haemorrhous,2,"ES-245, Espírito Santo, BR (-19,245, -40,482)",BR-ES,23 Dec 2022,L21888875,S124486600,,1
175,3028,species,Striped Cuckoo,Tapera naevia,1,"ES-245, Espírito Santo, BR (-19,245, -40,482)",BR-ES,23 Dec 2022,L21888875,S124486600,,1
176,34958,species,Lined Seedeater,Sporophila lineola,2,"ES-245, Espírito Santo, BR (-19,245, -40,482)",BR-ES,23 Dec 2022,L21888875,S124481163,,1
177,12887,species,Blue-winged Macaw,Primolius maracana,1,"ES-245, Espírito Santo, BR (-19,245, -40,482)",BR-ES,23 Dec 2022,L21888875,S124481163,,1
178,7631,species,Lesser Yellow-headed Vulture,Cathartes burrovianus,1,Roça - Governador Lindenberg,BR-ES,23 Dec 2022,L21888521,S124468745,,1
179,231,species,White-faced Whistling-Duck,Dendrocygna viduata,5,Sítio do Engenho,BR-SP,03 Dec 2022,L21434561,S123778494,,1
180,11595,species,Blond-crested Woodpecker,Celeus flavescens,1,São Paulo--Praça Pôr do Sol,BR-SP,12 Nov 2022,L10971805,S122277458,,1
181,33291,species,Shiny Cowbird,Molothrus bonariensis,5,Universidade de São Paulo--Praça do Relógio,BR-SP,11 Nov 2022,L8121084,S122239640,,1
182,17048,species,Cattle Tyrant,Machetornis rixosa,1,Universidade de São Paulo--Praça do Relógio,BR-SP,11 Nov 2022,L8121084,S122239640,,1
183,10732,species,Red-breasted Toucan,Ramphastos dicolorus,3,Universidade de São Paulo--Praça do Relógio,BR-SP,11 Nov 2022,L8121084,S122239640,,1
184,3888,species,Sick's Swift,Chaetura meridionalis,1,Sítio do Engenho,BR-SP,10 Nov 2022,L21434561,S122165037,,1
185,2340,species,White-tipped Dove,Leptotila verreauxi,,Sítio do Engenho,BR-SP,10 Nov 2022,L21434561,S122165037,,1
186,32115,species,Hooded Siskin,Spinus magellanicus,1,Sítio do Engenho,BR-SP,09 Nov 2022,L21434561,S122139958,,1
187,28123,species,Creamy-bellied Thrush,Turdus amaurochalinus,,Sítio do Engenho,BR-SP,09 Nov 2022,L21434561,S122139958,,1
188,873,species,Dusky-legged Guan,Penelope obscura,2,Sítio do Engenho,BR-SP,09 Nov 2022,L21434561,S122115800,,1
189,27612,species,Chalk-browed Mockingbird,Mimus saturninus,1,Sítio do Engenho,BR-SP,06 Nov 2022,L21434561,S121959603,,1
190,18704,species,Rufous-browed Peppershrike,Cyclarhis gujanensis,,Sítio do Engenho,BR-SP,06 Nov 2022,L21434561,S121959603,,1
191,11657,species,Green-barred Woodpecker,Colaptes melanochloros,1,Sítio do Engenho,BR-SP,05 Nov 2022,L21434561,S122018582,,1
192,7927,species,Plumbeous Kite,Ictinia plumbea,1,Sítio do Engenho,BR-SP,05 Nov 2022,L21434561,S121891899,,1
193,10705,species,Toco Toucan,Ramphastos toco,1,Pesqueiro Megalodon,BR-SP,05 Nov 2022,L21448117,S121886433,,1
194,34918,species,Saffron Finch,Sicalis flaveola,1,Sítio do Engenho,BR-SP,05 Nov 2022,L21434561,S121873909,,1
195,5442,species,Common Gallinule,Gallinula galeata,1,Sítio do Engenho,BR-SP,05 Nov 2022,L21434561,S121873909,,1
196,17116,species,Streaked Flycatcher,Myiodynastes maculatus,2,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121848085,,1
197,17176,species,Fork-tailed Flycatcher,Tyrannus savana,2,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121829072,,1
198,14763,species,Rufous Hornero,Furnarius rufus,1,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121829072,,1
199,11727,species,Crested Caracara,Caracara plancus,1,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121829072,,1
200,439,species,Brazilian Teal,Amazonetta brasiliensis,2,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121829072,,1
201,18914,species,Chivi Vireo,Vireo chivi,,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121824051,,1
202,4942,species,Violet-capped Woodnymph,Thalurania glaucopis,1,Sítio do Engenho,BR-SP,04 Nov 2022,L21434561,S121824051,,1
203,35031,species,Double-collared Seedeater,Sporophila caerulescens,1,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837,,1
204,32629,species,Rufous-collared Sparrow,Zonotrichia capensis,1,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837,,1
205,23713,species,Blue-and-white Swallow,Pygochelidon cyanoleuca,,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837,,1
206,12955,species,White-eyed Parakeet,Psittacara leucophthalmus,5,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837,,1
207,7561,species,Green Ibis,Mesembrinibis cayennensis,1,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837,,1
208,7398,species,Whistling Heron,Syrigma sibilatrix,1,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837,,1
209,5419,species,Slaty-breasted Wood-Rail,Aramides saracura,1,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837,,1
210,1969,species,Picazuro Pigeon,Patagioenas picazuro,2,Sítio do Engenho,BR-SP,03 Nov 2022,L21434561,S121809837,,1
211,34394,species,Sayaca Tanager,Thraupis sayaca,3,Parque Eduardo Guinle,BR-RJ,30 Oct 2022,L11532167,S121561443,,1
212,12768,species,Maroon-bellied Parakeet,Pyrrhura frontalis,1,Parque Eduardo Guinle,BR-RJ,30 Oct 2022,L11532167,S121561443,,1
214,27995,species,Pale-breasted Thrush,Turdus leucomelas,,"74 Rua Soares Cabral, Rio de Janeiro, BR (-22,937, -43,186)",BR-RJ,29 Oct 2022,L21387228,S121521894,,1
215,35086,species,Bananaquit,Coereba flaveola,,Parque Eduardo Guinle,BR-RJ,29 Oct 2022,L11532167,S121522131,,1
216,28039,species,Rufous-bellied Thrush,Turdus rufiventris,1,Parque Eduardo Guinle,BR-RJ,29 Oct 2022,L11532167,S121522131,,1
217,7260,species,Neotropic Cormorant,Nannopterum brasilianum,1,Parque Eduardo Guinle,BR-RJ,29 Oct 2022,L11532167,S121522131,,1
218,2286,species,Ruddy Ground Dove,Columbina talpacoti,1,Parque Eduardo Guinle,BR-RJ,29 Oct 2022,L11532167,S121522131,,1
219,1874,species,Rock Pigeon,Columba livia,17,Parque Eduardo Guinle,BR-RJ,29 Oct 2022,L11532167,S121522131,N,1
220,423,species,Muscovy Duck,Cairina moschata,,Parque Eduardo Guinle,BR-RJ,29 Oct 2022,L11532167,S121522131,,1
221,34499,species,Plain-colored Tanager,Tangara inornata,2,Gamboa (town),PA-3,26 Oct 2022,L454673,S121662529,,1
222,33557,species,Yellow Warbler,Setophaga petechia,1,Gamboa (town),PA-3,26 Oct 2022,L454673,S121662529,,1
223,35001,species,Variable Seedeater,Sporophila corvina,2,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
224,34951,species,Blue-black Grassquit,Volatinia jacarina,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
225,34402,species,Palm Tanager,Thraupis palmarum,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
226,34080,species,Dickcissel,Spiza americana,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
227,33426,species,Northern Waterthrush,Parkesia noveboracensis,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
228,23772,species,Barn Swallow,Hirundo rustica,15,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
229,23701,species,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,10,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
230,17079,species,Social Flycatcher,Myiozetetes similis,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
231,17055,species,Great Kiskadee,Pitangus sulphuratus,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
233,13237,species,Barred Antshrike,Thamnophilus doliatus,2,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
234,11519,species,Lineated Woodpecker,Dryocopus lineatus,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
235,7514,species,Great Blue Heron,Ardea herodias,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
236,7469,species,Green Heron,Butorides virescens,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
237,7401,species,Little Blue Heron,Egretta caerulea,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
238,6188,species,Pectoral Sandpiper,Calidris melanotos,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
239,5613,species,White-throated Crake,Laterallus albigularis,4,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
240,5489,species,Purple Gallinule,Porphyrio martinica,2,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
242,42,species,Great Tinamou,Tinamus major,1,Ammo Dump Ponds,PA-3,25 Oct 2022,L1740339,S121458177,,1
243,27179,species,Song Wren,Cyphorhinus phaeocephalus,7,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
244,16615,species,Eastern Wood-Pewee,Contopus virens,7,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
245,15884,species,Golden-crowned Spadebill,Platyrinchus coronatus,1,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
246,14539,species,Cocoa Woodcreeper,Xiphorhynchus susurrans,2,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
247,11553,species,Cinnamon Woodpecker,Celeus loricatus,4,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
248,10170,species,Black-breasted Puffbird,Notharchus pectoralis,3,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
249,8293,species,Broad-winged Hawk,Buteo platypterus,3,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
250,7922,species,Double-toothed Kite,Harpagus bidentatus,2,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
251,6743,species,Sunbittern,Eurypyga helias,1,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
252,3762,species,Great Potoo,Nyctibius grandis,1,Pipeline Road,PA-3,25 Oct 2022,L8603093,S121386102,,1
253,10017,species,Ringed Kingfisher,Megaceryle torquata,1,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
254,9601,species,Rufous Motmot,Baryphthengus martii,1,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
255,9311,species,Slaty-tailed Trogon,Trogon massena,2,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
256,7917,species,Snail Kite,Rostrhamus sociabilis,5,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
257,7640,species,Osprey,Pandion haliaetus,1,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
258,7523,species,Cocoi Heron,Ardea cocoi,1,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
259,7491,species,Great Egret,Ardea alba,3,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
260,5956,species,Wattled Jacana,Jacana jacana,7,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
261,5642,species,Limpkin,Aramus guarauna,2,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
262,3024,species,Greater Ani,Crotophaga major,3,Lago Gatún,PA-3,24 Oct 2022,L5377870,S121386092,,1
263,7312,species,Rufescent Tiger-Heron,Tigrisoma lineatum,2,Ammo Dump Ponds,PA-3,23 Oct 2022,L1740339,S121386086,,1
264,34598,species,Blue Dacnis,Dacnis cayana,1,Gamboa (town),PA-3,23 Oct 2022,L454673,S121385961,,1
265,34378,species,Blue-gray Tanager,Thraupis episcopus,3,Gamboa (town),PA-3,23 Oct 2022,L454673,S121385961,,1
266,34267,species,Crimson-backed Tanager,Ramphocelus dimidiatus,4,Gamboa (town),PA-3,23 Oct 2022,L454673,S121385961,,1
267,28042,species,Clay-colored Thrush,Turdus grayi,1,Gamboa (town),PA-3,23 Oct 2022,L454673,S121385961,,1
268,26737,species,House Wren,Troglodytes aedon,1,Gamboa (town),PA-3,23 Oct 2022,L454673,S121385961,,1
269,9581,species,Whooping Motmot,Momotus subrufescens,1,Gamboa (town),PA-3,23 Oct 2022,L454673,S121385961,,1
270,816,species,Gray-headed Chachalaca,Ortalis cinereiceps,4,Gamboa (town),PA-3,23 Oct 2022,L454673,S121385961,,1
271,33119,species,Scarlet-rumped Cacique,Cacicus uropygialis,2,Achiote Rd.--Sendero El Trogón,PA-3,22 Oct 2022,L454697,S121457761,,1
272,13431,species,Checker-throated Stipplethroat,Epinecrophylla fulviventris,1,Achiote Rd.--Sendero El Trogón,PA-3,22 Oct 2022,L454697,S121457761,,1
273,12666,species,Red-lored Parrot,Amazona autumnalis,2,Achiote Rd.--Sendero El Trogón,PA-3,22 Oct 2022,L454697,S121457761,,1
274,10669,species,Collared Aracari,Pteroglossus torquatus,3,Achiote Rd.--Sendero El Trogón,PA-3,22 Oct 2022,L454697,S121457761,,1
275,9333,species,Gartered Trogon,Trogon caligatus,1,Achiote Rd.--Sendero El Trogón,PA-3,22 Oct 2022,L454697,S121457761,,1
276,33338,species,Great-tailed Grackle,Quiscalus mexicanus,12,Ft.Sherman--Shelter Bay Marina & Kennedy Loop Place,PA-3,22 Oct 2022,L2440821,S121457374,,1
277,23678,species,Gray-breasted Martin,Progne chalybea,6,Ft.Sherman--Shelter Bay Marina & Kennedy Loop Place,PA-3,22 Oct 2022,L2440821,S121457374,,1
278,23655,species,Mangrove Swallow,Tachycineta albilinea,5,Ft.Sherman--Shelter Bay Marina & Kennedy Loop Place,PA-3,22 Oct 2022,L2440821,S121457374,,1
279,17156,species,Eastern Kingbird,Tyrannus tyrannus,8,Ft.Sherman--Shelter Bay Marina & Kennedy Loop Place,PA-3,22 Oct 2022,L2440821,S121457374,,1
280,17139,species,Tropical Kingbird,Tyrannus melancholicus,10,Ft.Sherman--Shelter Bay Marina & Kennedy Loop Place,PA-3,22 Oct 2022,L2440821,S121457374,,1
